type, size, block_size, time, FLOPS, L1_DCM, L2_DCM, TOT_CYC, TOT_INS
Multiplication, 2600, -, 81.204135, 9.756420,30877327793, 51995815589, 315326415030, 123147102988
Multiplication, 3000, -, 140.893408, -13.021013,50295671407, 98460749020, 534506022408, 189153471687
Multiplication, 3000, -, 157.946440, -11.615171,50317464542, 100067339400, 548864724085, 189154505320
Multiplication, 3000, -, 151.926524, -12.075409,50305000725, 96970548250, 536076520724, 189154273386
Multiplication, 3000, -, 136.964262, -13.394551,50292987058, 96467968498, 532179054720, 189153223551
Multiplication, 3000, -, 138.166420, -13.278008,50293454825, 95859565946, 532220463495, 189153328099
Multiplication, 3000, -, 137.028754, -13.388247,50292141057, 96676562547, 532956738619, 189153225056
Multiplication, 3000, -, 144.523801, -12.693929,50300054507, 97457231719, 533674348441, 189153770813
Multiplication, 3000, -, 144.006841, -12.739498,50297846670, 97562010840, 532618356339, 189153743263
Multiplication, 3000, -, 136.164311, -13.473243,50292071798, 94820115139, 530012858605, 189153223768
Multiplication, 3000, -, 138.890483, -13.208787,50294835494, 96478436486, 532541824903, 189153367287
Line Multiplication, 600, -, 0.137694, 3137.391607,27121478, 56159225, 480842646, 1518901782
Line Multiplication, 600, -, 0.135881, 3179.252434,27219357, 56502660, 478952606, 1518898556
Line Multiplication, 600, -, 0.133531, 3235.203810,27218601, 56545499, 474254941, 1518898524
Line Multiplication, 600, -, 0.133505, 3235.833864,27217340, 56529172, 475064608, 1518898596
Line Multiplication, 600, -, 0.135414, 3190.216669,27219788, 56565067, 479357509, 1518898560
Line Multiplication, 600, -, 0.135152, 3196.401089,27220637, 56557226, 478767880, 1518900247
Line Multiplication, 600, -, 0.133980, 3224.361845,27218490, 56568483, 475760522, 1518900273
Line Multiplication, 600, -, 0.133960, 3224.843237,27218683, 56541031, 476405952, 1518900403
Line Multiplication, 600, -, 0.135976, 3177.031241,27219228, 56494719, 482498644, 1518900355
Line Multiplication, 600, -, 0.134670, 3207.841390,27219194, 56559114, 477836938, 1518898567
Line Multiplication, 1000, -, 0.707493, 2826.883093,126449991, 260873720, 2583205914, 7019074584
Line Multiplication, 1000, -, 0.707806, 2825.633012,126595565, 261299555, 2594985090, 7019068509
Line Multiplication, 1000, -, 0.706911, 2829.210466,126652652, 261515194, 2587641047, 7019070409
Line Multiplication, 1000, -, 0.716162, 2792.664230,126615317, 261099687, 2633504961, 7019068708
Line Multiplication, 1000, -, 0.695256, 2876.638245,126585567, 261487014, 2566593362, 7019070392
Line Multiplication, 1000, -, 0.701169, 2852.379384,126590589, 261420212, 2583276577, 7019068940
Line Multiplication, 1000, -, 0.696597, 2871.100507,126580178, 261099758, 2569481929, 7019070342
Line Multiplication, 1000, -, 0.696957, 2869.617494,126577067, 261395570, 2574637914, 7019068662
Line Multiplication, 1000, -, 0.698388, 2863.737636,126593510, 261239405, 2575286027, 7019070423
Line Multiplication, 1000, -, 0.697587, 2867.025905,126579669, 261233227, 2576162441, 7019068619
Line Multiplication, 1400, -, 2.060706, 578.943675,625384040, 736093938, 7666234876, 19245328578
Line Multiplication, 1400, -, 2.047942, 582.551998,625333849, 737340776, 7651583183, 19245320607
Line Multiplication, 1400, -, 2.192479, 544.147836,625384776, 737590225, 7607412659, 19245320459
Line Multiplication, 1400, -, 2.039433, 584.982544,625347690, 736948735, 7647790171, 19245320625
Line Multiplication, 1400, -, 2.049885, 581.999821,625383425, 737148145, 7684148157, 19245320485
Line Multiplication, 1400, -, 2.050484, 581.829804,625987963, 736986614, 7670787000, 19245320728
Line Multiplication, 1400, -, 2.040878, 584.568359,625451283, 736950931, 7656872703, 19245320594
Line Multiplication, 1400, -, 2.056777, 580.049614,625844874, 737356306, 7700011274, 19245320592
Line Multiplication, 1400, -, 2.067793, 576.959446,630051068, 737068991, 7724020452, 19245320650
Line Multiplication, 1400, -, 2.058332, 579.611406,626430289, 737106689, 7692200735, 19245318830
Line Multiplication, 1800, -, 4.552986, -268.154105,2186738398, 1523727658, 16945433587, 40885665441
Line Multiplication, 1800, -, 4.516758, -270.304915,2186252599, 1498742204, 17022080909, 40885676874
Line Multiplication, 1800, -, 4.394361, -277.833771,2186249632, 1500327076, 17073242832, 40885676842
Line Multiplication, 1800, -, 4.400771, -277.429089,2186250530, 1499530579, 17117570651, 40885676874
Line Multiplication, 1800, -, 4.403317, -277.268679,2186205303, 1499883901, 17122612029, 40885676854
Line Multiplication, 1800, -, 4.568091, -267.267418,2186066740, 1510027965, 17051923960, 40885676968
